y1_statefips,y1_statefips,y1_state,y1_state_name,n1,n2,AGI,Year
CT,32,NV,Nevada,136,257,12010,2018
CT,1,AL,Alabama,130,228,6548,2018
CT,21,KY,Kentucky,125,213,7472,2018
CT,10,DE,Delaware,118,226,7059,2018
CT,40,OK,Oklahoma,105,200,6290,2018
CT,20,KS,Kansas,101,204,8454,2018
CT,19,IA,Iowa,90,160,5963,2018
CT,35,NM,New Mexico,81,145,5393,2018
CT,54,WV,West Virginia,75,125,4026,2018
CT,5,AR,Arkansas,75,146,7381,2018
CT,31,NE,Nebraska,50,96,4443,2018
CT,28,MS,Mississippi,45,89,2288,2018
CT,2,AK,Alaska,39,69,1644,2018
CT,16,ID,Idaho,37,69,2288,2018
CT,30,MT,Montana,33,47,1833,2018
CT,38,ND,North Dakota,31,51,1298,2018
CT,46,SD,South Dakota,29,43,1342,2018
CT,56,WY,Wyoming,26,33,1155,2018
DE,96,DE,DE Total Migration-US and Foreign,18728,34273,1362933,2018
DE,97,DE,DE Total Migration-US,18582,33939,1356378,2018
DE,98,DE,DE Total Migration-Foreign,146,334,6555,2018
DE,97,DE,DE Total Migration-Same State,4220,7748,217330,2018
DE,10,DE,DE Non-migrants,358837,730980,27261837,2018
DE,42,PA,Pennsylvania,4921,8969,359162,2018
DE,24,MD,Maryland,3693,6621,288016,2018
DE,34,NJ,New Jersey,2250,4137,184469,2018
DE,36,NY,New York,1354,2444,99879,2018
DE,12,FL,Florida,939,1655,47373,2018
DE,51,VA,Virginia,913,1712,83230,2018
DE,48,TX,Texas,451,866,29774,2018
DE,37,NC,North Carolina,440,854,26072,2018
DE,6,CA,California,440,780,31175,2018
DE,13,GA,Georgia,269,534,14473,2018
DE,25,MA,Massachusetts,213,344,14418,2018
DE,39,OH,Ohio,212,433,15227,2018
DE,17,IL,Illinois,199,371,14586,2018
DE,9,CT,Connecticut,192,331,15887,2018
DE,45,SC,South Carolina,173,341,9757,2018
DE,57,FR,Foreign,146,334,6555,2018
DE,47,TN,Tennessee,143,272,7298,2018
DE,4,AZ,Arizona,131,267,9118,2018
DE,11,DC,District Of Columbia,127,173,15944,2018
DE,26,MI,Michigan,116,197,8661,2018
DE,8,CO,Colorado,106,203,6319,2018
DE,53,WA,Washington,105,191,5719,2018
DE,54,WV,West Virginia,96,190,4470,2018
DE,29,MO,Missouri,93,212,5329,2018
DE,27,MN,Minnesota,69,133,4691,2018
DE,18,IN,Indiana,67,125,4309,2018
DE,33,NH,New Hampshire,61,99,4177,2018
DE,55,WI,Wisconsin,58,87,3027,2018
DE,40,OK,Oklahoma,57,115,3503,2018
DE,21,KY,Kentucky,57,102,2683,2018
DE,22,LA,Louisiana,57,100,2559,2018
DE,1,AL,Alabama,56,99,3408,2018
DE,32,NV,Nevada,53,77,3108,2018
DE,23,ME,Maine,40,79,2246,2018
DE,41,OR,Oregon,39,66,2021,2018
DE,20,KS,Kansas,39,83,3484,2018
DE,28,MS,Mississippi,38,66,2112,2018
DE,15,HI,Hawaii,35,78,2264,2018
DE,19,IA,Iowa,34,66,2042,2018
DE,44,RI,Rhode Island,33,59,2344,2018
DE,35,NM,New Mexico,33,64,1825,2018
DE,2,AK,Alaska,30,60,1654,2018
DE,49,UT,Utah,28,67,1680,2018
DE,50,VT,Vermont,27,44,1477,2018
DE,38,ND,North Dakota,26,51,1034,2018
DE,31,NE,Nebraska,25,45,2377,2018
DE,16,ID,Idaho,17,33,919,2018
DE,5,AR,Arkansas,17,25,723,2018
DE,30,MT,Montana,10,19,353,2018
DE,56,WY,Wyoming,-1,-1,-1,2018
DE,46,SD,South Dakota,-1,-1,-1,2018
DC,96,DC,DC Total Migration-US and Foreign,29551,39783,2295423,2018
DC,97,DC,DC Total Migration-US,29274,39258,2263347,2018
DC,98,DC,DC Total Migration-Foreign,277,525,32076,2018
DC,11,DC,DC Non-migrants,263046,436839,29026864,2018
DC,24,MD,Maryland,8460,13077,579838,2018
DC,51,VA,Virginia,6231,7809,531992,2018
DC,36,NY,New York,2011,2437,183959,2018
DC,6,CA,California,1629,2049,157109,2018
DC,12,FL,Florida,1037,1347,105551,2018
DC,25,MA,Massachusetts,883,1036,60758,2018
DC,48,TX,Texas,852,1146,62306,2018
DC,42,PA,Pennsylvania,843,997,51437,2018
DC,37,NC,North Carolina,769,994,40632,2018
DC,17,IL,Illinois,640,760,57950,2018
DC,34,NJ,New Jersey,617,764,47967,2018
DC,13,GA,Georgia,553,746,35881,2018
DC,39,OH,Ohio,402,485,41216,2018
DC,9,CT,Connecticut,350,430,25736,2018
DC,53,WA,Washington,311,415,23548,2018
DC,8,CO,Colorado,298,401,20428,2018
DC,26,MI,Michigan,297,367,16491,2018
DC,57,FR,Foreign,277,525,32076,2018
DC,47,TN,Tennessee,247,320,17809,2018
DC,45,SC,South Carolina,247,329,14567,2018
DC,4,AZ,Arizona,192,260,14899,2018
DC,55,WI,Wisconsin,185,207,9904,2018
DC,29,MO,Missouri,169,211,10670,2018
DC,27,MN,Minnesota,163,183,9887,2018
DC,18,IN,Indiana,156,188,9434,2018
DC,41,OR,Oregon,137,173,10207,2018
DC,22,LA,Louisiana,128,154,14737,2018
DC,1,AL,Alabama,126,179,9600,2018
DC,10,DE,Delaware,106,136,8388,2018
DC,33,NH,New Hampshire,99,127,7551,2018
DC,44,RI,Rhode Island,84,98,5652,2018
DC,21,KY,Kentucky,84,109,5297,2018
DC,19,IA,Iowa,80,107,4591,2018
DC,32,NV,Nevada,78,107,6377,2018
DC,15,HI,Hawaii,78,123,6044,2018
DC,23,ME,Maine,71,96,8841,2018
DC,40,OK,Oklahoma,67,90,3765,2018
DC,20,KS,Kansas,66,85,7698,2018
DC,50,VT,Vermont,64,71,3981,2018
DC,49,UT,Utah,59,82,3295,2018
DC,35,NM,New Mexico,59,81,5746,2018
DC,28,MS,Mississippi,59,78,3308,2018
DC,54,WV,West Virginia,58,96,3309,2018
DC,5,AR,Arkansas,55,77,3410,2018
DC,31,NE,Nebraska,44,58,2960,2018
DC,2,AK,Alaska,36,59,2539,2018
DC,30,MT,Montana,32,37,1743,2018
DC,46,SD,South Dakota,18,26,1170,2018
DC,38,ND,North Dakota,17,19,919,2018
DC,16,ID,Idaho,17,17,726,2018
DC,56,WY,Wyoming,10,15,1521,2018
FL,96,FL,FL Total Migration-US and Foreign,313390,577098,32133238,2018
FL,97,FL,FL Total Migration-US,307196,562647,31755493,2018
FL,98,FL,FL Total Migration-Foreign,6194,14451,377745,2018
FL,97,FL,FL Total Migration-Same State,329030,591033,17727249,2018
FL,12,FL,FL Non-migrants,7551877,14948265,551419661,2018
FL,36,NY,New York,34975,61187,4197788,2018
FL,13,GA,Georgia,20825,40021,1510348,2018
FL,48,TX,Texas,17631,33538,1270705,2018
FL,34,NJ,New Jersey,16471,30223,2579442,2018
FL,6,CA,California,15409,27630,1831536,2018
FL,42,PA,Pennsylvania,14704,26211,1672492,2018
FL,51,VA,Virginia,13180,25429,1477971,2018
FL,17,IL,Illinois,13103,23884,2024298,2018
FL,37,NC,North Carolina,12854,24414,943453,2018
FL,39,OH,Ohio,12586,22421,1212612,2018
FL,26,MI,Michigan,10330,18088,1011730,2018
FL,25,MA,Massachusetts,10200,17396,1227314,2018
FL,24,MD,Maryland,8333,15020,940524,2018
FL,47,TN,Tennessee,8092,15266,547135,2018
FL,9,CT,Connecticut,7905,14262,1302474,2018
FL,18,IN,Indiana,7446,13738,591212,2018
FL,1,AL,Alabama,6859,13261,415716,2018
FL,8,CO,Colorado,6791,12414,765266,2018
FL,45,SC,South Carolina,6509,12039,416060,2018
FL,57,FR,Foreign,6194,14451,377745,2018
FL,29,MO,Missouri,4824,9000,472345,2018
FL,21,KY,Kentucky,4481,8391,418218,2018
FL,55,WI,Wisconsin,4195,7506,446279,2018
FL,53,WA,Washington,4169,8035,335611,2018
FL,4,AZ,Arizona,3761,6681,360068,2018
FL,27,MN,Minnesota,3553,6425,519788,2018
FL,22,LA,Louisiana,3255,6137,260942,2018
FL,33,NH,New Hampshire,2681,4692,313467,2018
FL,32,NV,Nevada,2601,4520,170019,2018
FL,28,MS,Mississippi,2283,4481,137787,2018
FL,23,ME,Maine,2202,3750,219307,2018
FL,44,RI,Rhode Island,2067,3669,214823,2018
FL,40,OK,Oklahoma,1993,3950,145857,2018
FL,20,KS,Kansas,1977,3791,182760,2018
FL,54,WV,West Virginia,1763,3250,113627,2018
FL,19,IA,Iowa,1664,3002,264107,2018
FL,41,OR,Oregon,1628,2896,138133,2018
FL,5,AR,Arkansas,1617,3093,111434,2018
FL,15,HI,Hawaii,1448,2949,88775,2018
FL,35,NM,New Mexico,1374,2640,82265,2018
FL,49,UT,Utah,1329,2769,89789,2018
FL,10,DE,Delaware,1317,2403,132868,2018
